Date,Revenue_MAD,Margin_MAD,Energy_kWh,CO2_Emissions_kg,Absenteeism_Pct,Customer_Satisfaction
2024-01-01,3256.96,494.53,152.15,35.0,0.58,84.7
2024-01-02,2948.08,711.75,149.05,34.28,3.15,83.19
2024-01-03,3349.65,541.89,169.93,39.08,4.44,85.78
2024-01-04,3795.92,788.23,146.26,33.64,3.99,81.97
2024-01-05,2925.91,519.07,157.93,36.32,3.17,80.48
2024-01-06,2934.48,602.79,159.53,36.69,2.61,87.49
2024-01-07,3849.71,828.23,140.24,32.26,3.65,87.52
2024-01-08,3452.36,804.31,173.96,40.01,2.22,81.78
2024-01-09,2842.42,485.04,151.13,34.76,3.38,88.58
2024-01-10,3356.93,507.23,140.02,32.21,3.4,82.47
2024-01-11,2862.4,468.54,166.38,38.27,3.85,86.01
2024-01-12,2869.69,688.73,138.18,31.78,5.21,88.28
2024-01-13,3231.94,767.23,157.22,36.16,3.31,84.87
2024-01-14,2162.7,453.61,156.98,36.1,2.59,86.82
2024-01-15,2265.22,475.81,179.38,41.26,2.98,82.93
2024-01-16,2854.84,618.08,167.65,38.56,1.58,84.21
2024-01-17,2637.83,441.93,158.15,36.38,2.44,84.18
2024-01-18,3309.58,799.07,175.5,40.37,2.67,82.01
2024-01-19,2706.62,519.34,187.44,43.11,2.58,84.29
2024-01-20,2462.61,463.74,171.28,39.39,3.12,78.81
2024-01-21,3909.66,789.33,160.82,36.99,2.34,83.04
2024-01-22,3071.97,475.22,134.86,31.02,3.9,83.86
2024-01-23,3226.6,537.64,140.27,32.26,3.0,83.98
2024-01-24,2488.37,556.91,155.94,35.87,2.99,84.03
2024-01-25,2936.41,464.77,150.33,34.57,2.74,84.75
2024-01-26,3271.85,688.12,159.24,36.63,3.12,86.92
2024-01-27,2648.62,462.28,164.58,37.85,3.66,88.5
2024-01-28,3419.62,646.07,174.5,40.14,2.31,82.4
2024-01-29,2939.05,525.71,162.95,37.48,2.47,80.19
2024-01-30,3101.04,575.45,174.54,40.14,2.76,80.83
2024-01-31,2953.48,655.39,166.55,38.31,1.92,83.05
2024-02-01,4187.85,752.61,126.19,29.02,2.34,83.59
2024-02-02,3262.25,674.11,147.35,33.89,2.62,81.92
2024-02-03,2747.36,542.89,163.69,37.65,3.7,79.82
2024-02-04,3694.62,799.39,142.81,32.85,3.21,83.18
2024-02-05,2679.98,653.07,179.42,41.27,3.15,85.73
2024-02-06,3401.8,759.48,198.46,45.65,3.68,87.38
2024-02-07,2324.4,398.62,192.63,44.3,2.89,82.77
2024-02-08,2646.93,405.29,164.39,37.81,3.31,83.35
2024-02-09,3416.15,602.02,198.88,45.74,2.92,81.29
2024-02-10,3693.55,773.83,172.43,39.66,3.21,84.87
2024-02-11,3416.5,530.04,163.11,37.51,2.53,81.61
2024-02-12,3279.4,654.69,157.97,36.33,1.05,87.29
2024-02-13,3192.97,669.52,164.56,37.85,2.89,77.86
2024-02-14,2610.47,478.82,163.22,37.54,4.14,83.56
2024-02-15,2995.91,680.34,174.76,40.19,3.74,86.2
2024-02-16,3131.5,503.11,174.92,40.23,3.77,85.74
2024-02-17,3896.27,613.72,172.12,39.59,3.99,95.77
2024-02-18,3545.3,789.96,181.15,41.66,3.07,86.4
2024-02-19,2497.63,498.4,196.56,45.21,3.16,80.98
2024-02-20,3546.75,776.17,192.07,44.18,2.51,84.62
2024-02-21,3197.61,618.68,143.71,33.05,2.75,77.9
2024-02-22,3057.01,533.88,122.65,28.21,3.49,84.68
2024-02-23,3706.52,859.58,192.73,44.33,3.96,81.67
2024-02-24,3921.27,901.66,147.01,33.81,2.89,88.66
2024-02-25,3876.38,850.75,170.15,39.13,2.64,82.8
2024-02-26,2995.98,530.93,151.53,34.85,3.0,84.53
2024-02-27,3265.7,682.61,139.18,32.01,3.48,82.46
2024-02-28,3590.54,668.19,186.32,42.85,1.84,91.96
2024-02-29,3917.15,623.45,190.95,43.92,1.16,83.72
2024-03-01,3194.14,772.12,164.49,37.83,2.56,92.33
2024-03-02,3345.12,547.53,124.46,28.62,2.02,88.26
2024-03-03,2888.87,707.84,165.6,38.09,2.59,86.93
2024-03-04,2847.89,554.2,184.6,42.46,2.88,86.47
2024-03-05,3856.08,649.8,147.41,33.9,2.64,86.58
2024-03-06,4131.63,843.64,180.88,41.6,4.16,77.29
2024-03-07,3421.06,811.8,177.12,40.74,3.26,83.88
2024-03-08,3962.25,884.46,189.21,43.52,3.24,88.38
2024-03-09,3644.59,840.65,180.22,41.45,3.5,84.8
2024-03-10,3144.36,678.8,158.55,36.47,2.09,79.38
2024-03-11,3650.63,800.32,202.13,46.49,3.83,84.79
2024-03-12,4241.82,996.49,175.2,40.3,2.94,91.82
2024-03-13,3457.62,604.97,177.99,40.94,3.54,89.99
2024-03-14,4260.44,847.58,160.02,36.8,2.14,84.75
2024-03-15,2170.69,373.62,169.97,39.09,1.76,88.81
2024-03-16,3893.82,968.65,161.28,37.09,3.65,83.53
2024-03-17,3528.56,862.4,175.64,40.4,3.3,78.18
2024-03-18,3337.55,513.79,213.46,49.1,2.28,81.3
2024-03-19,3534.8,779.63,151.9,34.94,2.3,91.25
2024-03-20,2496.87,605.55,147.17,33.85,3.9,83.9
2024-03-21,3382.4,568.44,208.96,48.06,2.05,84.03
2024-03-22,3672.23,759.4,175.43,40.35,4.31,83.8
2024-03-23,4233.91,1022.7,166.32,38.25,2.28,92.62
2024-03-24,3236.98,496.53,200.56,46.13,3.51,91.5
2024-03-25,3092.86,679.63,167.71,38.57,2.74,93.88
2024-03-26,3247.08,583.61,216.4,49.77,3.48,84.36
2024-03-27,3956.36,959.18,193.48,44.5,2.56,86.18
2024-03-28,3663.59,905.3,170.19,39.14,2.87,78.93
2024-03-29,3234.74,790.66,223.12,51.32,3.03,90.91
2024-03-30,3756.52,741.62,167.88,38.61,2.2,80.33
2024-03-31,3548.53,838.18,194.84,44.81,3.59,85.87
2024-04-01,3984.28,934.13,185.98,42.78,2.59,80.61
2024-04-02,3148.75,572.79,206.02,47.38,2.82,82.64
2024-04-03,3335.61,776.84,211.2,48.58,2.2,81.65
2024-04-04,3302.9,507.66,180.58,41.53,0.95,82.57
2024-04-05,2766.57,579.95,164.83,37.91,2.85,82.84
2024-04-06,3645.61,630.69,189.05,43.48,4.93,82.81
2024-04-07,3627.16,587.8,166.24,38.24,3.63,88.33
2024-04-08,3498.11,551.64,220.0,50.6,2.98,80.58
2024-04-09,3377.05,741.7,182.39,41.95,2.79,85.88
2024-04-10,2785.29,512.46,172.27,39.62,3.02,89.87
2024-04-11,3281.14,729.98,183.18,42.13,3.44,82.95
2024-04-12,3318.45,519.46,152.45,35.06,2.06,82.13
2024-04-13,3086.87,560.36,159.85,36.77,3.89,84.08
2024-04-14,3405.42,694.53,203.17,46.73,3.57,89.72
2024-04-15,3685.99,844.36,165.9,38.16,3.57,85.78
2024-04-16,4424.83,804.77,157.97,36.33,3.35,82.88
2024-04-17,3566.65,758.23,189.49,43.58,3.02,86.94
2024-04-18,3605.62,860.29,202.32,46.53,3.54,80.59
2024-04-19,3436.96,727.21,192.83,44.35,3.47,87.73
2024-04-20,2511.99,435.32,198.2,45.59,2.72,86.63
2024-04-21,3455.18,526.71,162.97,37.48,2.54,83.77
2024-04-22,3495.48,828.46,149.49,34.38,3.08,81.65
2024-04-23,4693.77,714.05,207.76,47.78,4.24,81.45
2024-04-24,3362.61,798.52,171.07,39.35,2.01,87.14
2024-04-25,3606.08,731.65,172.3,39.63,1.83,89.92
2024-04-26,3434.32,837.65,203.66,46.84,3.13,82.45
2024-04-27,2863.58,658.28,188.0,43.24,3.04,86.83
2024-04-28,4015.44,1003.03,185.76,42.72,3.14,76.65
2024-04-29,3815.97,706.23,219.7,50.53,3.2,82.66
2024-04-30,3831.37,868.64,163.28,37.55,2.82,84.88
2024-05-01,2976.88,566.18,194.45,44.72,4.19,81.36
2024-05-02,4128.56,817.4,176.77,40.66,1.72,81.25
2024-05-03,2721.7,579.04,180.73,41.57,2.34,82.33
2024-05-04,3711.39,880.96,205.65,47.3,2.92,86.17
2024-05-05,4508.4,1119.93,184.95,42.54,1.69,84.25
2024-05-06,2913.0,660.75,185.26,42.61,2.86,76.05
2024-05-07,3120.09,598.36,195.64,45.0,4.33,76.52
2024-05-08,3447.92,662.47,166.59,38.31,3.02,82.57
2024-05-09,3141.09,702.84,156.79,36.06,3.18,86.83
2024-05-10,2612.11,454.19,152.35,35.04,1.99,74.01
2024-05-11,3416.23,550.17,133.59,30.73,2.51,83.0
2024-05-12,2845.18,527.67,213.7,49.15,2.7,82.9
2024-05-13,3607.41,644.73,150.17,34.54,2.75,90.55
2024-05-14,2905.07,521.84,167.46,38.52,4.03,83.46
2024-05-15,4133.81,716.64,165.99,38.18,3.45,86.53
2024-05-16,2961.17,456.64,177.32,40.78,2.11,85.57
2024-05-17,3185.61,483.54,187.11,43.04,3.2,76.48
2024-05-18,3747.15,932.19,187.63,43.16,3.4,88.07
2024-05-19,2718.6,524.08,158.38,36.43,3.91,85.86
2024-05-20,3441.31,648.45,166.31,38.25,4.26,87.03
2024-05-21,3974.6,866.32,174.91,40.23,2.19,100.7
2024-05-22,2510.64,431.39,163.89,37.69,2.35,76.66
2024-05-23,3399.96,832.98,200.61,46.14,1.99,91.9
2024-05-24,3430.75,784.39,177.87,40.91,2.81,83.85
2024-05-25,3684.8,585.67,182.33,41.94,3.37,86.15
2024-05-26,2668.41,511.69,180.47,41.51,3.79,84.82
2024-05-27,2619.57,623.23,190.26,43.76,2.94,83.3
2024-05-28,3533.59,863.87,169.98,39.09,2.74,82.72
2024-05-29,3413.86,671.64,139.99,32.2,3.12,86.32
2024-05-30,3383.28,715.03,173.48,39.9,2.33,78.93
2024-05-31,3423.85,570.77,152.01,34.96,4.67,88.0
2024-06-01,2903.12,723.22,154.02,35.42,1.71,83.34
2024-06-02,3351.71,580.41,175.86,40.45,3.15,80.48
2024-06-03,3374.49,824.3,188.44,43.34,4.62,83.2
2024-06-04,2863.08,615.46,163.64,37.64,3.01,90.03
2024-06-05,4145.39,873.74,168.93,38.85,2.85,82.86
2024-06-06,3441.59,692.69,196.32,45.15,2.71,86.43
2024-06-07,2601.14,450.17,166.62,38.32,2.86,82.08
2024-06-08,3517.13,589.66,213.36,49.07,4.1,88.03
2024-06-09,2693.52,463.42,172.16,39.6,1.23,87.74
2024-06-10,3566.35,601.44,125.15,28.79,4.23,92.39
2024-06-11,3744.0,853.48,174.95,40.24,1.86,84.3
2024-06-12,2746.21,508.08,167.02,38.41,2.79,87.67
2024-06-13,3630.04,565.5,184.7,42.48,2.66,85.39
2024-06-14,3346.51,826.29,171.87,39.53,3.47,90.18
2024-06-15,3542.86,844.54,155.14,35.68,1.72,82.12
2024-06-16,4071.91,988.56,132.92,30.57,3.37,87.98
2024-06-17,2992.46,746.59,152.73,35.13,4.62,84.22
2024-06-18,2729.89,456.96,139.4,32.06,1.91,84.74
2024-06-19,2653.58,503.18,144.29,33.19,3.15,85.37
2024-06-20,2681.98,605.65,167.16,38.45,2.47,86.01
2024-06-21,3042.85,668.22,188.28,43.3,3.34,84.54
2024-06-22,3243.48,536.44,162.27,37.32,3.02,85.86
2024-06-23,3202.72,741.7,129.94,29.89,2.49,91.31
2024-06-24,3469.42,598.28,162.24,37.32,3.39,88.94
2024-06-25,3053.77,526.41,176.77,40.66,4.44,88.48
2024-06-26,3765.46,767.01,140.13,32.23,2.85,83.18
2024-06-27,2897.78,606.49,149.13,34.3,3.58,81.44
2024-06-28,4381.6,911.41,151.58,34.86,1.97,88.82
2024-06-29,3325.74,529.29,135.08,31.07,2.23,88.5
2024-06-30,2575.72,612.37,163.22,37.54,3.38,90.89
2024-07-01,2460.25,434.38,147.84,34.0,4.19,82.58
2024-07-02,3228.33,526.06,159.17,36.61,3.28,84.08
2024-07-03,2866.76,684.8,133.54,30.71,2.75,78.44
2024-07-04,3326.89,816.97,143.06,32.9,3.0,83.43
2024-07-05,3197.93,755.39,166.77,38.36,2.0,88.99
2024-07-06,2916.32,673.53,145.38,33.44,3.48,83.13
2024-07-07,2520.77,543.29,187.89,43.21,3.71,87.56
2024-07-08,2178.2,446.72,145.87,33.55,2.64,84.24
2024-07-09,2703.84,429.1,158.87,36.54,2.62,86.3
2024-07-10,3346.8,638.72,173.54,39.91,3.21,80.41
2024-07-11,3017.16,565.02,127.03,29.22,2.65,85.34
2024-07-12,2278.79,401.01,120.68,27.76,2.95,73.04
2024-07-13,2979.83,662.54,125.89,28.96,4.68,84.25
2024-07-14,3077.51,614.23,182.16,41.9,2.8,78.48
2024-07-15,2434.56,384.92,146.37,33.67,2.71,89.82
2024-07-16,2945.03,506.6,209.07,48.09,2.48,88.11
2024-07-17,2888.99,630.74,147.12,33.84,3.6,86.87
2024-07-18,2280.16,359.38,162.59,37.4,2.86,91.08
2024-07-19,3022.34,710.61,342.432,78.75936,2.48,81.2
2024-07-20,3115.69,621.63,360.0,82.8,4.06,91.99
2024-07-21,3368.72,667.2,362.88,83.4624,4.14,88.73
2024-07-22,3346.04,700.13,333.036,76.59828,2.52,84.05
2024-07-23,2122.31,493.37,327.25800000000004,75.26934000000001,1.51,89.54
2024-07-24,2334.29,431.33,312.588,71.89524,3.81,80.57
2024-07-25,3052.84,664.91,177.85,40.91,2.45,81.7
2024-07-26,3044.39,628.89,151.73,34.9,3.63,82.57
2024-07-27,3037.26,536.69,146.85,33.78,1.42,82.88
2024-07-28,4698.41,1117.58,163.61,37.63,3.71,80.77
2024-07-29,3049.87,700.68,160.73,36.97,2.03,89.89
2024-07-30,3324.65,717.61,155.52,35.77,3.58,83.96
2024-07-31,3226.38,758.39,178.97,41.16,3.01,86.41
2024-08-01,3067.66,726.21,184.59,42.46,2.24,82.72
2024-08-02,2577.0,569.1,167.69,38.57,2.67,77.72
2024-08-03,3106.86,726.08,195.91,45.06,3.55,86.08
2024-08-04,2333.79,512.84,143.95,33.11,3.08,77.35
2024-08-05,2594.7,565.68,163.34,37.57,3.47,84.73
2024-08-06,2463.43,521.9,153.3,35.26,4.58,79.53
2024-08-07,2740.13,617.27,130.72,30.07,1.75,92.95
2024-08-08,3849.69,638.51,166.8,38.37,4.29,88.65
2024-08-09,1751.99,417.13,166.43,38.28,3.08,85.42
2024-08-10,3022.1,716.8,199.53,45.89,2.28,90.05
2024-08-11,1866.06,285.37,182.27,41.92,1.94,81.61
2024-08-12,2430.0,565.17,149.56,34.4,2.85,87.17
2024-08-13,3204.09,521.9,207.51,47.73,3.74,85.8
2024-08-14,2685.5,492.82,195.22,44.9,2.9,86.06
2024-08-15,2108.34,473.01,182.81,42.05,4.21,90.09
2024-08-16,2283.51,379.24,167.0,38.41,1.84,87.93
2024-08-17,2975.02,689.6,152.7,35.12,2.99,86.15
2024-08-18,2264.21,528.04,164.79,37.9,2.0,78.38
2024-08-19,2731.9,548.42,194.35,44.7,3.29,81.16
2024-08-20,2640.84,397.81,210.61,48.44,3.71,84.51
2024-08-21,2286.76,408.65,204.11,46.95,2.66,85.37
2024-08-22,3679.15,778.85,163.79,37.67,0.92,80.48
2024-08-23,2918.87,724.23,151.49,34.84,3.16,94.65
2024-08-24,1584.19,337.72,177.01,40.71,3.35,91.07
2024-08-25,2684.96,472.5,139.13,32.0,3.32,87.41
2024-08-26,2255.93,481.42,181.25,41.69,3.99,85.29
2024-08-27,3008.25,613.68,172.13,39.59,2.14,84.15
2024-08-28,2181.12,497.26,166.04,38.19,3.54,81.19
2024-08-29,2515.47,404.23,143.74,33.06,3.95,85.31
2024-08-30,2820.92,637.82,186.17,42.82,1.58,86.03
2024-08-31,2997.02,611.77,165.5,38.06,3.26,80.03
2024-09-01,1959.85,482.71,153.0,35.19,2.6,86.34
2024-09-02,2388.72,439.97,119.2,27.42,2.93,84.38
2024-09-03,2314.61,493.62,176.32,40.55,3.28,77.37
2024-09-04,2221.66,540.31,212.55,48.89,2.61,81.56
2024-09-05,3427.42,549.25,210.54,48.42,2.46,83.35
2024-09-06,2743.7,668.7,168.39,38.73,3.03,92.55
2024-09-07,1907.41,417.32,165.68,38.11,2.13,87.23
2024-09-08,2993.57,469.34,187.3,43.08,2.13,79.66
2024-09-09,3592.64,647.02,158.14,36.37,3.54,86.94
2024-09-10,3044.85,672.36,184.32,42.39,2.08,78.81
2024-09-11,1766.13,276.82,193.77,44.57,3.53,89.33
2024-09-12,2281.04,474.95,203.15,46.72,3.37,83.12
2024-09-13,3154.1,582.21,176.76,40.65,1.62,84.63
2024-09-14,2164.43,459.06,174.83,40.21,2.46,90.3
2024-09-15,2737.94,423.22,161.48,37.14,3.96,79.85
2024-09-16,2901.26,688.04,162.63,37.4,2.22,79.41
2024-09-17,2048.53,506.7,174.75,40.19,2.63,82.67
2024-09-18,2480.43,612.39,186.74,42.95,3.37,89.15
2024-09-19,887.9,199.75,197.76,45.48,3.63,78.92
2024-09-20,1994.83,325.17,163.51,37.61,2.8,73.67
2024-09-21,2379.38,537.33,209.51,48.19,2.52,83.2
2024-09-22,1880.55,286.71,174.31,40.09,4.14,87.21
2024-09-23,3319.58,505.28,179.37,41.26,4.39,89.8
2024-09-24,1787.38,325.95,164.91,37.93,3.78,83.15
2024-09-25,2281.65,453.74,131.41,30.23,3.07,83.35
2024-09-26,2566.41,582.68,197.62,45.45,2.35,89.62
2024-09-27,3221.2,703.28,194.7,44.78,2.34,77.52
2024-09-28,1782.3,346.82,174.36,40.1,3.42,83.45
2024-09-29,3081.62,546.56,181.34,41.71,3.33,85.76
2024-09-30,2505.12,625.56,190.32,43.77,4.12,86.8
2024-10-01,2009.36,387.04,148.74,34.21,3.52,82.96
2024-10-02,2731.43,533.01,169.4,38.96,1.8,85.14
2024-10-03,2600.31,432.59,195.84,45.04,3.84,75.05
2024-10-04,2201.23,505.14,154.83,35.61,2.2,82.37
2024-10-05,2536.94,556.52,185.75,42.72,2.69,86.81
2024-10-06,2310.23,397.54,152.69,35.12,3.2,81.07
2024-10-07,2560.65,405.19,189.1,43.49,4.6,85.24
2024-10-08,2836.1,618.41,178.99,41.17,5.49,86.79
2024-10-09,3299.33,710.85,147.32,33.88,3.49,83.63
2024-10-10,1888.86,334.94,202.83,46.65,2.85,85.68
2024-10-11,3575.86,876.4,164.75,37.89,3.43,81.15
2024-10-12,1535.03,253.44,163.13,37.52,3.71,84.17
2024-10-13,2437.06,470.92,183.23,42.14,2.74,87.44
2024-10-14,2809.13,686.44,202.07,46.48,4.44,85.63
2024-10-15,2657.63,510.19,158.66,36.49,3.18,82.65
2024-10-16,2208.09,472.2,180.07,41.42,3.4,85.9
2024-10-17,2417.82,458.8,187.26,43.07,3.53,87.86
2024-10-18,2277.97,404.16,192.39,44.25,3.34,76.8
2024-10-19,2232.52,554.55,181.9,41.84,3.67,89.64
2024-10-20,2954.87,564.18,170.86,39.3,2.51,83.65
2024-10-21,2711.59,649.18,161.46,37.14,2.55,86.7
2024-10-22,2189.77,378.82,179.55,41.3,2.12,89.79
2024-10-23,2989.31,512.1,156.19,35.92,3.35,79.51
2024-10-24,2696.59,412.88,119.0,27.37,3.62,82.16
2024-10-25,2952.92,635.37,185.94,42.77,3.37,83.85
2024-10-26,2865.0,535.33,195.07,44.87,4.34,81.86
2024-10-27,2139.51,505.86,129.5,29.79,3.0,91.94
2024-10-28,2277.88,449.47,156.33,35.96,3.53,81.57
2024-10-29,2935.7,724.59,188.66,43.39,2.13,82.78
2024-10-30,2871.46,483.99,217.17,49.95,2.69,85.82
2024-10-31,2560.17,606.41,176.18,40.52,3.56,80.19
2024-11-01,2633.76,599.6,160.93,37.01,3.68,83.42
2024-11-02,3218.52,730.9,171.56,39.46,2.76,86.27
2024-11-03,2288.63,536.63,202.43,46.56,2.94,83.67
2024-11-04,2862.81,647.29,161.73,37.2,1.79,84.63
2024-11-05,2493.13,530.1,158.36,36.42,2.71,82.88
2024-11-06,2490.48,406.26,164.39,37.81,3.71,78.94
2024-11-07,3153.92,483.35,154.66,35.57,3.46,86.29
2024-11-08,3022.56,731.72,175.86,40.45,3.4,92.02
2024-11-09,3022.05,639.66,205.58,47.28,3.04,85.07
2024-11-10,3273.59,751.79,179.21,41.22,3.01,85.9
2024-11-11,2637.02,522.53,167.36,38.49,2.47,87.77
2024-11-12,2973.27,480.87,166.23,38.23,3.56,79.92
2024-11-13,2483.04,403.54,140.45,32.3,3.34,91.81
2024-11-14,2806.25,613.33,189.01,43.47,3.39,85.81
2024-11-15,2585.2,499.02,169.43,38.97,2.58,91.53
2024-11-16,2704.97,459.99,167.0,38.41,1.28,82.07
2024-11-17,2960.36,589.58,234.1,53.84,3.88,92.27
2024-11-18,2260.07,353.52,175.82,40.44,2.62,88.1
2024-11-19,3721.88,774.88,154.42,35.52,2.31,87.21
2024-11-20,2179.28,385.51,160.54,36.92,3.55,85.94
2024-11-21,2081.88,478.32,191.63,44.07,2.69,84.01
2024-11-22,3274.82,592.86,170.52,39.22,3.85,89.8
2024-11-23,3098.47,605.82,139.08,31.99,3.49,85.56
2024-11-24,3021.66,456.76,185.81,42.74,3.55,77.13
2024-11-25,3030.82,476.58,153.64,35.34,1.91,80.53
2024-11-26,2717.66,514.32,204.04,46.93,3.97,84.26
2024-11-27,2282.37,451.9,187.74,43.18,3.21,86.24
2024-11-28,2776.19,583.01,156.76,36.05,2.7,84.77
2024-11-29,2407.08,431.27,190.88,43.9,3.11,89.88
2024-11-30,3240.67,711.32,166.17,38.22,1.58,77.2
2024-12-01,2687.1,634.19,181.42,41.73,3.33,85.57
2024-12-02,2355.48,537.01,173.6,39.93,2.18,77.73
2024-12-03,2615.19,402.64,146.52,33.7,1.92,88.04
2024-12-04,2990.08,592.19,150.11,34.53,1.78,84.62
2024-12-05,2509.54,402.76,183.12,42.12,3.89,86.68
2024-12-06,2388.15,416.03,155.35,35.73,2.5,81.54
2024-12-07,2929.01,728.35,153.5,35.3,4.23,90.12
2024-12-08,2937.62,482.5,141.99,32.66,2.57,89.17
2024-12-09,2569.69,513.65,169.08,38.89,1.63,87.33
2024-12-10,2595.72,549.81,201.38,46.32,2.11,84.48
2024-12-11,2955.39,650.91,138.29,31.81,3.99,87.32
2024-12-12,2123.5,437.37,159.63,36.72,2.88,82.17
2024-12-13,2152.03,324.91,186.9,42.99,2.56,88.42
2024-12-14,2504.8,457.49,156.57,36.01,3.13,91.6
2024-12-15,2765.6,558.02,166.71,38.34,3.4,89.28
2024-12-16,3036.12,482.09,135.91,31.26,3.89,82.08
2024-12-17,3626.72,671.17,165.22,38.0,4.16,86.45
2024-12-18,3326.28,509.99,152.41,35.05,2.71,79.83
2024-12-19,2825.92,446.09,175.36,40.33,1.94,87.29
2024-12-20,2904.85,551.03,178.89,41.14,2.67,86.8
2024-12-21,2421.58,395.38,206.42,47.48,3.21,77.52
2024-12-22,2922.1,604.16,165.71,38.11,2.23,80.35
2024-12-23,2795.57,612.08,160.12,36.83,2.23,83.87
2024-12-24,3109.81,715.44,156.98,36.11,3.28,83.8
2024-12-25,2543.4,432.42,145.52,33.47,2.96,80.16
2024-12-26,3225.27,537.81,158.83,36.53,3.03,86.56
2024-12-27,3740.56,600.2,145.64,33.5,2.39,86.01
2024-12-28,2928.41,625.63,154.4,35.51,2.82,84.22
2024-12-29,3192.25,704.36,176.87,40.68,2.26,81.98
2024-12-30,3345.07,512.33,129.87,29.87,3.71,89.19
2024-12-31,2808.0,684.09,173.31,39.86,3.83,91.62
